Time [s]	Drucki Ch.  1(Target)[mbar]	Drucki Ch.  1(Read)[mbar]	Drucki Ch.  2(Target)[mbar]	Drucki Ch.  2(Read)[mbar]	Drucki Ch.  3(Target)[mbar]	Drucki Ch.  3(Read)[mbar]	Drucki Ch.  4(Target)[mbar]	Drucki Ch.  4(Read)[mbar]	
3771.5730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3771.6730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8245	
3771.7730	0.0000	1.4407	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3771.8730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	2.8982	
3771.9730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3772.0730	0.0000	1.4171	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3772.1730	0.0000	1.4329	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3772.2730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3772.3730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3772.4730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3772.5730	0.0000	1.4329	146.0000	146.0828	0.0000	0.4177	0.0000	3.0457	
3772.6730	0.0000	1.4329	146.0000	146.0828	0.0000	0.4177	0.0000	2.8982	
3772.7730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3772.8730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3772.9730	0.0000	1.4171	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3773.0730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3773.1730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3773.2730	0.0000	1.4250	146.0000	146.0828	0.0000	0.4177	0.0000	2.9720	
3773.3730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3773.4730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	3.0457	
3773.5730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3773.6730	0.0000	1.4092	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3773.7730	0.0000	1.4171	146.0000	146.0205	0.0000	0.4177	0.0000	2.9720	
3773.8730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3773.9730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3774.0730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3774.1730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3774.2730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3774.3730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3774.4730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3774.5730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3774.6730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3774.7730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3774.8730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3774.9730	0.0000	1.4329	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3775.0730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.8982	
3775.1730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3775.2730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3775.3730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3775.4730	0.0000	1.4407	146.0000	146.0828	0.0000	0.3487	0.0000	3.0457	
3775.5730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3775.6730	0.0000	1.4250	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3775.7730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3775.8730	0.0000	1.4092	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3775.9730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3776.0730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3776.1730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3776.2730	0.0000	1.4171	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3776.3730	0.0000	1.4171	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3776.4730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3776.5730	0.0000	1.4250	146.0000	146.1450	0.0000	0.3487	0.0000	2.9720	
3776.6730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3776.7730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3776.8730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3776.9730	0.0000	1.4250	146.0000	146.0205	0.0000	0.4177	0.0000	3.0457	
3777.0730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	3.0457	
3777.1730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	3.0457	
3777.2730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3777.3730	0.0000	1.4329	146.0000	146.0828	0.0000	0.4177	0.0000	2.9720	
3777.4730	0.0000	1.4407	146.0000	146.0828	0.0000	0.2796	0.0000	3.0457	
3777.5730	0.0000	1.4250	146.0000	146.0205	0.0000	0.4177	0.0000	2.9720	
3777.6730	0.0000	1.4407	146.0000	146.0828	0.0000	0.3487	0.0000	2.8982	
3777.7730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3777.8730	0.0000	1.4171	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3777.9730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3778.0730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3778.1730	0.0000	1.4171	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3778.2730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3778.3730	0.0000	1.4250	146.0000	146.0828	0.0000	0.4177	0.0000	2.8982	
3778.4730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3778.5730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3778.6730	0.0000	1.4250	146.0000	146.0828	0.0000	0.2796	0.0000	2.9720	
3778.7730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3778.8730	0.0000	1.4329	146.0000	145.9583	0.0000	0.4177	0.0000	2.9720	
3778.9730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.9720	
3779.0730	0.0000	1.4407	146.0000	146.0205	0.0000	0.2796	0.0000	2.9720	
3779.1730	0.0000	1.4250	146.0000	146.1450	0.0000	0.2796	0.0000	2.9720	
3779.2730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3779.3730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3779.4730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3779.5730	0.0000	1.4329	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3779.6730	0.0000	1.4250	146.0000	146.0205	0.0000	0.3487	0.0000	2.8982	
3779.7730	0.0000	1.4329	146.0000	146.0828	0.0000	0.4177	0.0000	2.8982	
3779.8730	0.0000	1.4407	146.0000	146.0205	0.0000	0.4177	0.0000	2.9720	
3779.9730	0.0000	1.4407	146.0000	146.0828	0.0000	0.4177	0.0000	2.9720	
3780.0730	0.0000	1.4250	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
3780.1730	0.0000	1.4329	146.0000	146.0828	0.0000	0.3487	0.0000	2.9720	
