t_start	t_max	t_end	voltage	width	spacing	area	barcode	is_false_drop	id
0.124555	0.124775	0.124925	0.00957748083317403	0.000370000000000009	0.00096499999999998	2.56448622064339e-06	64	0	68
0.12589	0.126085	0.126255	0.00963851598942403	0.000365000000000004	0.00137000000000001	2.54223358210252e-06	65	0	69
0.127625	0.12786	0.128	0.00976058630192403	0.000374999999999986	0.00109000000000001	2.65998104668426e-06	66	0	70
0.12909	0.129295	0.129445	0.00963851598942403	0.000354999999999994	0.00154500000000002	2.44783206478641e-06	67	0	71
0.13099	0.131195	0.131345	0.00963851598942403	0.000354999999999994	0.000969999999999999	2.40587039486453e-06	68	0	72
0.132315	0.13251	0.132655	0.00960799841129903	0.000340000000000007	0.00182499999999999	2.31927605346067e-06	69	0	73
0.13448	0.134735	0.134855	0.00960799841129903	0.000374999999999986	0.000700000000000006	2.57971981621551e-06	70	0	74
0.135555	0.13579	0.135915	0.00985213903629903	0.000359999999999999	0.00140999999999999	2.57262376582727e-06	71	0	75
0.137325	0.137565	0.137715	0.00994369177067403	0.000390000000000001	0.00220500000000001	2.79692939199437e-06	72	0	76
0.13992	0.14059	0.14075	0.011439053098799	0.000829999999999997	0.00193000000000002	6.5492900015597e-06	73	0	77
0.14268	0.14292	0.143045	0.00960799841129903	0.000364999999999976	0.000345000000000012	2.52270233210252e-06	74	0	78
0.14339	0.143605	0.14371	0.00908919958317403	0.000319999999999987	0.000985000000000014	2.02671325320344e-06	75	0	79
0.144695	0.144915	0.14506	0.00942489294254903	0.000365000000000004	0.00121499999999999	2.51980316218065e-06	76	0	80
0.146275	0.14646	0.146605	0.00933334020817403	0.000329999999999997	0.00254499999999999	2.24318508301955e-06	77	0	81
0.14915	0.14929	0.14998	0.00817367223942403	0.000830000000000025	-0.000830000000000025	6.65396529452845e-06	78	0	82
0.14915	0.149835	0.14998	0.011866299192549	0.000830000000000025	0.00176499999999999	6.65396529452845e-06	78	0	83
0.151745	0.15203	0.15215	0.010187832395674	0.000404999999999989	0.00122	2.95752886035135e-06	79	0	84
0.15337	0.153595	0.15375	0.00982162145817403	0.000380000000000019	0.00175	2.69047343131888e-06	80	0	85
0.1555	0.15571	0.155865	0.00948592809879903	0.000365000000000004	0.00112999999999999	2.50469696100877e-06	81	0	86
0.156995	0.15714	0.157255	0.00841781286442403	0.000259999999999982	0.00127000000000002	1.5246962391505e-06	82	0	87
0.158525	0.15878	0.1589	0.00957748083317403	0.000374999999999986	0.00110000000000002	2.55423763848114e-06	83	0	88
0.16	0.1602	0.16035	0.00954696325504903	0.000349999999999989	0.00142999999999999	2.42084920163616e-06	84	0	89
0.16178	0.162015	0.16217	0.00991317419254903	0.000390000000000001	0.00104000000000001	2.73650458730687e-06	85	0	90
0.16321	0.16342	0.16356	0.00960799841129903	0.000349999999999989	0.001445	2.42374837155804e-06	86	0	91
0.165005	0.16525	0.1654	0.00973006872379903	0.000395000000000006	0.00107499999999999	2.79202138600399e-06	87	0	92
0.166475	0.166695	0.166815	0.00936385778629903	0.000340000000000007	0.001415	2.29562493041379e-06	88	0	93
0.16823	0.16846	0.168615	0.00994369177067403	0.000384999999999996	0.00111	2.72066064017225e-06	89	0	94
0.169725	0.169925	0.170075	0.00954696325504903	0.000350000000000017	0.00147	2.38377034421429e-06	90	0	95
0.171545	0.1718	0.171925	0.00969955114567403	0.000379999999999991	0.001085	2.6759775817095e-06	91	0	96
0.17301	0.173235	0.17336	0.00954696325504903	0.000349999999999989	0.00145500000000001	2.40223347897991e-06	92	0	97
0.174815	0.175085	0.175205	0.00985213903629903	0.000390000000000001	0.00115499999999999	2.76366523183812e-06	93	0	98
0.17636	0.17659	0.176705	0.00911971716129903	0.000345000000000012	0.00144999999999998	2.25287512754842e-06	94	0	99
0.178155	0.178395	0.17853	0.00960799841129903	0.000375000000000014	0.001085	2.56232479668426e-06	95	0	100
0.179615	0.17982	0.17997	0.00985213903629903	0.000354999999999994	0.0015	2.49391360775516e-06	96	0	101
0.18147	0.181675	0.181855	0.00966903356754903	0.000384999999999996	0.00115000000000001	2.74431176321912e-06	97	0	102
0.183005	0.18321	0.183345	0.00973006872379903	0.000339999999999979	0.00143000000000001	2.36444206908567e-06	98	0	103
0.184775	0.184985	0.185145	0.00960799841129903	0.000370000000000009	0.00106499999999998	2.59317274408089e-06	99	0	104
0.18621	0.18641	0.18653	0.00954696325504903	0.000320000000000015	0.00142499999999998	2.14649474734406e-06	100	0	105
0.187955	0.18818	0.188315	0.00966903356754903	0.000359999999999999	0.001	2.40935472285853e-06	101	0	106
0.189315	0.18953	0.18966	0.00960799841129903	0.000345000000000012	0.00144	2.40027502989217e-06	102	0	107
0.1911	0.19135	0.191475	0.00979110388004903	0.000375000000000014	0.00102999999999998	2.62061337090301e-06	103	0	108
0.192505	0.19272	0.19286	0.00969955114567403	0.000355000000000022	0.00153499999999998	2.47361941830203e-06	104	0	109
0.194395	0.19463	0.194765	0.00942489294254903	0.000370000000000009	0.000865000000000005	2.54876966790902e-06	105	0	110
0.19563	0.195825	0.195965	0.00963851598942403	0.000335000000000002	0.00172999999999998	2.28405344421667e-06	106	0	111
0.197695	0.197935	0.198085	0.00966903356754903	0.000390000000000001	0.000750000000000001	2.68966010488499e-06	107	0	112
0.198835	0.199055	0.199195	0.00960799841129903	0.000359999999999999	0.000680000000000014	2.51265672481165e-06	108	0	113
0.199875	0.2001	0.20024	0.00942489294254903	0.000365000000000004	0.00103499999999998	2.4944735723369e-06	109	0	114
0.201275	0.20151	0.201625	0.00948592809879903	0.000350000000000017	0.00195000000000001	2.39414632077679e-06	110	0	115
0.203575	0.20377	0.2039	0.00942489294254903	0.000324999999999992	0.00145000000000001	2.13105817690056e-06	111	0	116
0.20535	0.20559	0.205715	0.00915023473942403	0.000364999999999976	0.00113000000000002	2.41497528132127e-06	112	0	117
0.206845	0.207075	0.207185	0.00945541052067403	0.000340000000000007	0.00138999999999997	2.35818596557005e-06	113	0	118
0.208575	0.208795	0.208945	0.00954696325504903	0.000370000000000009	0.000900000000000012	2.48926039056527e-06	114	0	119
0.209845	0.21006	0.21021	0.00991317419254903	0.000365000000000004	0.00134999999999999	2.58770477350877e-06	115	0	120
0.21156	0.21179	0.211935	0.00985213903629903	0.000374999999999986	0.000990000000000019	2.65021542168426e-06	116	0	121
0.212925	0.2131	0.21326	0.00933334020817403	0.000335000000000002	0.001305	2.25200998718542e-06	117	0	122
0.214565	0.214815	0.21494	0.00951644567692403	0.000374999999999986	0.000980000000000009	2.58185604668426e-06	118	0	123
0.21592	0.216155	0.216285	0.00969955114567403	0.000365000000000004	0.00139999999999998	2.55016815241502e-06	119	0	124
0.217685	0.21793	0.218065	0.00991317419254903	0.000380000000000019	0.00111	2.7089365660845e-06	120	0	125
0.219175	0.21935	0.21951	0.00936385778629903	0.000334999999999974	0.00144000000000002	2.30297434265417e-06	121	0	126
0.22095	0.22119	0.221325	0.00991317419254903	0.000374999999999986	0.00114	2.58414486504363e-06	122	0	127
0.222465	0.22267	0.22282	0.00951644567692403	0.000354999999999994	0.001475	2.43089480892703e-06	123	0	128
0.224295	0.22456	0.22473	0.010401455442549	0.000434999999999991	0.000950000000000006	3.2840683732372e-06	124	0	129
0.22568	0.225875	0.226	0.00918075231754903	0.000320000000000015	0.001525	2.01755797976594e-06	125	0	130
0.227525	0.22776	0.227895	0.00973006872379903	0.000369999999999981	0.000945000000000001	2.59042616204964e-06	126	0	131
0.22884	0.229055	0.22917	0.00945541052067403	0.000329999999999997	0.001885	2.24867824708205e-06	127	0	132
0.231055	0.23129	0.23144	0.00948592809879903	0.000385000000000024	0.00078499999999998	2.62361474173475e-06	128	0	133
