next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0005:c:1/4 - next_morning_.nd2 (series 03),807.5871,30528.3383,1321.3808,24832,32508,104.8498,33.1464,1,1414,101,127.0928,32.2145
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0342:c:1/4 - next_morning_.nd2 (series 03),882.0248,29304.6096,3004.5091,18714,32534,109.2371,34.3781,1,1151,104,113.1986,33.7432
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0323:c:1/4 - next_morning_.nd2 (series 03),805.5078,26683.4920,3068.2097,15201,30199,104.8186,33.1464,1,2224,114,127.0928,32.1497
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0106:c:1/4 - next_morning_.nd2 (series 03),919.8674,29315.6573,2887.2276,18559,32682,113.0131,35.6139,1,1065,114,121.6755,33.8939
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0388:c:1/4 - next_morning_.nd2 (series 03),798.8541,28277.4956,3598.7884,16241,32184,107.8581,34.3781,1,502,121,113.1986,30.8873
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0505:c:1/4 - next_morning_.nd2 (series 03),878.2821,29168.0303,2752.6943,18463,32290,109.2299,34.3781,1,394,122,113.1986,33.7432
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0070:c:1/4 - next_morning_.nd2 (series 03),801.3493,29246.3804,2540.8844,20189,32257,108.3137,34.3781,1,1374,120,113.1986,31.8259
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0116:c:1/4 - next_morning_.nd2 (series 03),920.6991,29221.2466,2856.8992,19164,32371,113.0501,35.6139,1,1235,127,121.6755,33.9508
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0343:c:1/4 - next_morning_.nd2 (series 03),737.7237,27669.6353,3189.8992,17591,31925,102.6669,33.1464,1,538,167,37.0928,30.0885
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0894:c:1/4 - next_morning_.nd2 (series 03),815.4883,25166.2249,3491.6829,14323,30527,104.9903,33.1464,1,2306,133,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0397:c:1/4 - next_morning_.nd2 (series 03),1173.1221,30301.2017,2140.3455,18731,33346,125.8717,39.5950,1,1011,135,127.0565,39.0327
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0228:c:1/4 - next_morning_.nd2 (series 03),925.6894,28705.9515,3078.9196,17391,32366,113.1408,35.6139,1,1585,136,121.6755,33.7831
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0536:c:1/4 - next_morning_.nd2 (series 03),782.2200,27988.7294,3533.1218,17418,32128,104.6715,33.1464,1,437,139,127.0928,31.0095
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0846:c:1/4 - next_morning_.nd2 (series 03),748.9517,25890.0089,3558.9541,14116,31869,104.5391,33.1464,1,2265,139,127.0928,29.7305
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0277:c:1/4 - next_morning_.nd2 (series 03),768.9127,29203.6733,2842.1621,18928,32465,104.5119,33.1464,1,958,141,127.0928,30.7683
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0181:c:1/4 - next_morning_.nd2 (series 03),880.3614,27839.1960,2945.0509,17922,31136,109.1795,34.3781,1,1931,138,113.1986,33.7432
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0379:c:1/4 - next_morning_.nd2 (series 03),797.1907,26240.0829,3337.5047,13895,29793,104.8366,33.1464,1,2350,146,142.9072,31.4349
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0744:c:1/4 - next_morning_.nd2 (series 03),1173.1221,29621.6437,1439.1829,21220,31518,125.8717,39.5950,1,45,144,127.0565,39.0327
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0241:c:1/4 - next_morning_.nd2 (series 03),778.8932,29222.9824,2832.0061,17990,32436,103.9461,33.1464,1,1325,142,127.0928,31.0873
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0582:c:1/4 - next_morning_.nd2 (series 03),1020.0881,27276.8728,1531.0861,20140,29566,117.3461,36.7631,1,2509,138,91.0051,36.4792
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0292:c:1/4 - next_morning_.nd2 (series 03),815.4883,28823.1627,2918.2031,18889,32237,104.9903,33.1464,1,1279,146,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0110:c:1/4 - next_morning_.nd2 (series 03),812.5773,30340.7344,1159.4898,26051,32504,104.9026,33.1464,1,1113,147,127.0928,32.4519
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0275:c:1/4 - next_morning_.nd2 (series 03),934.8382,28930.4577,2715.5041,17570,32373,113.1911,35.6139,1,1633,148,121.6755,34.3188
